Team,Elo
Liverpool,1739.10
Man City,1714.52
Arsenal,1698.50
Chelsea,1621.09
Aston Villa,1620.98
Newcastle,1616.67
Nott'm Forest,1550.82
Brentford,1549.14
Brighton,1548.73
Crystal Palace,1545.84
Bournemouth,1543.17
Fulham,1531.05
Man United,1512.18
Everton,1509.68
Wolves,1495.83
Tottenham,1490.94
West Ham,1474.93
Ipswich,1417.14
Leeds,1409.98
Luton,1403.00
West Brom,1399.29
Burnley,1380.31
Norwich,1375.19
Leicester,1374.91
Watford,1370.11
Sheffield United,1311.56
Southampton,1295.33
