Season,MatchDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeElo,AwayElo,EloDiff,Home_PPG_Last5,Away_PPG_Last5,Home_GoalsScored_Last5,Away_GoalsScored_Last5,Home_GoalsConceded_Last5,Away_GoalsConceded_Last5,Home_Shots_Last5,Away_Shots_Last5,Home_ShotsAllowed_Last5,Away_ShotsAllowed_Last5,Home_SOT_Last5,Away_SOT_Last5,Home_SOTAllowed_Last5,Away_SOTAllowed_Last5,Home_OppAvgElo_Last5,Away_OppAvgElo_Last5,PPG_Last5_Diff,Goals_Last5_Diff,GoalsConceded_Last5_Diff,Shots_Last5_Diff,SOT_Last5_Diff,ShotDiff_Last5_Diff,HomeRestDays,AwayRestDays,RestDiff
2020/21,2020-09-12,Fulham,Arsenal,0,3,A,5,13,2,6,1500.00,1500.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020/21,2020-09-12,Crystal Palace,Southampton,1,0,H,5,9,3,5,1500.00,1500.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020/21,2020-09-12,Liverpool,Leeds,4,3,H,22,6,6,3,1500.00,1500.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020/21,2020-09-12,West Ham,Newcastle,0,2,A,15,15,3,2,1500.00,1500.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020/21,2020-09-13,West Brom,Leicester,0,3,A,7,13,1,7,1500.00,1500.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020/21,2020-09-13,Tottenham,Everton,0,1,A,9,15,5,4,1500.00,1500.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020/21,2020-09-14,Brighton,Chelsea,1,3,A,13,10,3,5,1500.00,1500.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020/21,2020-09-14,Sheffield United,Wolves,0,2,A,9,11,2,4,1500.00,1500.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020/21,2020-09-19,Everton,West Brom,5,2,H,17,6,7,4,1510.00,1490.00,20.00,3.00,0.00,1.00,0.00,0.00,3.00,15.00,7.00,9.00,13.00,4.00,1.00,5.00,7.00,1500.00,1500.00,3.00,1.00,-3.00,8.00,3.00,12.00,6,6,0
2020/21,2020-09-19,Leeds,Fulham,4,3,H,10,14,7,6,1490.00,1490.00,0.00,0.00,0.00,3.00,0.00,4.00,3.00,6.00,5.00,22.00,13.00,3.00,2.00,6.00,6.00,1500.00,1500.00,0.00,3.00,1.00,1.00,1.00,-8.00,7,7,0
2020/21,2020-09-19,Man United,Crystal Palace,1,3,A,13,14,4,5,1500.00,1510.00,-10.00,NaN,3.00,NaN,1.00,NaN,0.00,NaN,5.00,NaN,9.00,NaN,3.00,NaN,5.00,NaN,1500.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,NaN
2020/21,2020-09-19,Arsenal,West Ham,2,1,H,7,14,3,3,1510.00,1490.00,20.00,3.00,0.00,3.00,0.00,0.00,2.00,13.00,15.00,5.00,15.00,6.00,3.00,2.00,2.00,1500.00,1500.00,3.00,3.00,-2.00,-2.00,3.00,8.00,7,7,0
2020/21,2020-09-20,Southampton,Tottenham,2,5,A,14,9,7,6,1490.00,1490.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,9.00,9.00,5.00,15.00,5.00,5.00,3.00,4.00,1500.00,1500.00,0.00,0.00,0.00,0.00,0.00,10.00,8,7,1
